winner,loser,replica,exhibition,draw,location,league,round,year,date,date
Stuart,Klan,SIN RÉPLICA,FALSE,FALSE,"Salta, Argentina",FMS Argentina,4,2018-2019,"Domingo, 02 de Septiembre de 2018",02/09/2018
Wos,Trueno,SIN RÉPLICA,FALSE,FALSE,"Salta, Argentina",FMS Argentina,4,2018-2019,"Domingo, 02 de Septiembre de 2018",02/09/2018
Arkano,Zasko,SIN RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,4,2018-2019,"Sábado, 15 de Septiembre de 2018",15/09/2018
BTA,Walls,1 RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,4,2018-2019,"Sábado, 15 de Septiembre de 2018",15/09/2018
Blon,Hander,SIN RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,4,2018-2019,"Sábado, 15 de Septiembre de 2018",15/09/2018
Errecé,Force,2 RÉPLICAS,FALSE,FALSE,"Murcia, España",FMS Espana,4,2018-2019,"Sábado, 15 de Septiembre de 2018",15/09/2018
Chuty,Skone,SIN RÉPLICA,FALSE,FALSE,"Murcia, España",FMS Espana,4,2018-2019,"Sábado, 15 de Septiembre de 2018",15/09/2018
Papo,Cacha,SIN RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,5,2018-2019,"Sábado, 06 de Octubre de 2018",06/10/2018
Trueno,Dtoke,1 RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,5,2018-2019,"Sábado, 06 de Octubre de 2018",06/10/2018
Wos,Stuart,SIN RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,5,2018-2019,"Sábado, 06 de Octubre de 2018",06/10/2018
MKS,Replik,1 RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,5,2018-2019,"Sábado, 06 de Octubre de 2018",06/10/2018
Klan,Dani,SIN RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,5,2018-2019,"Sábado, 06 de Octubre de 2018",06/10/2018
Errecé,BTA,SIN RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,5,2018-2019,"Sábado, 03 de Noviembre de 2018",03/11/2018
Walls,Force,SIN RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,5,2018-2019,"Sábado, 03 de Noviembre de 2018",03/11/2018
Zasko,Skone,SIN RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,5,2018-2019,"Sábado, 03 de Noviembre de 2018",03/11/2018
Blon,Chuty,1 RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,5,2018-2019,"Sábado, 03 de Noviembre de 2018",03/11/2018
Arkano,Hander,1 RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,5,2018-2019,"Sábado, 03 de Noviembre de 2018",03/11/2018
Stuart,Replik,SIN RÉPLICA,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,6,2018-2019,"Lunes, 05 de Noviembre de 2018",05/11/2018
MKS,Dani,1 RÉPLICA,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,6,2018-2019,"Lunes, 05 de Noviembre de 2018",05/11/2018
Klan,Trueno,2 RÉPLICAS,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,6,2018-2019,"Lunes, 05 de Noviembre de 2018",05/11/2018
Wos,Cacha,SIN RÉPLICA,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,6,2018-2019,"Lunes, 05 de Noviembre de 2018",05/11/2018
Stuart,Dtoke,1 RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,7,2018-2019,"Lunes, 19 de Noviembre de 2018",19/11/2018
Trueno,Cacha,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,7,2018-2019,"Lunes, 19 de Noviembre de 2018",19/11/2018
Wos,Dani,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,7,2018-2019,"Lunes, 19 de Noviembre de 2018",19/11/2018
MKS,Klan,1 RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,7,2018-2019,"Lunes, 19 de Noviembre de 2018",19/11/2018
Replik,Papo,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,7,2018-2019,"Lunes, 19 de Noviembre de 2018",19/11/2018
Arkano,Blon,1 RÉPLICA,FALSE,FALSE,"Cádiz, España",FMS Espana,6,2018-2019,"Sábado, 24 de Noviembre de 2018",24/11/2018
Skone,Force,SIN RÉPLICA,FALSE,FALSE,"Cádiz, España",FMS Espana,6,2018-2019,"Sábado, 24 de Noviembre de 2018",24/11/2018
Zasko,Errecé,SIN RÉPLICA,FALSE,FALSE,"Cádiz, España",FMS Espana,6,2018-2019,"Sábado, 24 de Noviembre de 2018",24/11/2018
Chuty,BTA,SIN RÉPLICA,FALSE,FALSE,"Cádiz, España",FMS Espana,6,2018-2019,"Sábado, 24 de Noviembre de 2018",24/11/2018
Walls,Hander,SIN RÉPLICA,FALSE,FALSE,"Cádiz, España",FMS Espana,6,2018-2019,"Sábado, 24 de Noviembre de 2018",24/11/2018
Wos,Klan,SIN RÉPLICA,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,8,2018-2019,"Domingo, 02 de Diciembre de 2018",02/12/2018
Dtoke,Replik,1 RÉPLICA,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,8,2018-2019,"Domingo, 02 de Diciembre de 2018",02/12/2018
Dani,Trueno,1 RÉPLICA,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,8,2018-2019,"Domingo, 02 de Diciembre de 2018",02/12/2018
Stuart,Dozer,EXHIBICIÓN,TRUE,TRUE,"La Plata, Argentina",FMS Argentina,8,2018-2019,"Domingo, 02 de Diciembre de 2018",02/12/2018
MKS,Cacha,SIN RÉPLICA,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,8,2018-2019,"Domingo, 02 de Diciembre de 2018",02/12/2018
Wos,Papo,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
Cacha,Replik,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
MKS,Trueno,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
